,location,Hospitals
108,Hosur Road,"Popular Hospitals And Research Centre,Abhaya Hospital,Sparsh Hospital,Mgmi Hospitals India Pvt Ltd,"
109,Hulimavu,"Mathru Nursing Home,"
110,ISRO Layout,
111,ITPL,
112,Iblur Village,
113,Indira Nagar,"Rashmi Hospital,"
114,JP Nagar,
115,Jakkur,
116,Jalahalli,"Eskay Healthcare,"
117,Jalahalli East,
118,Jigani,"Vijayashree Hospitals,"
119,Judicial Layout,
120,KR Puram,
121,Kadubeesanahalli,
122,Kadugodi,
123,Kaggadasapura,
124,Kaggalipura,
125,Kaikondrahalli,
126,Kalena Agrahara,
127,Kalyan nagar,
128,Kambipura,
129,Kammanahalli,"Divine Medical Centre,Zion Hospitals & Research Centre Pvt Ltd,"
130,Kammasandra,
131,Kanakapura,"Sri Sai Ram Hospital,Nethradhama Hospitals Pvt. Ltd.,Mathru Multi Speciality Hospital,Deepak Hospital,Vasan Eye Care Hospital,"
132,Kanakpura Road,
133,Kannamangala,
134,Karuna Nagar,
135,Kasavanhalli,
136,Kasturi Nagar,
137,Kathriguppe,
138,Kaval Byrasandra,
139,Kenchenahalli,
140,Kengeri,"Smt. Shantha & Sri J.A. Narayana Rao Foundation For Medical Sciences,Belaku Eye Hospital Pvt. Ltd.,Shreya Hospital,H.K Hospital,Sahana Hospital,Bgs Global Hospitals,Mathru Hospital,Adarsh Multi Speciality Hospital,"
141,Kengeri Satellite Town,"Smt. Shantha & Sri J.A. Narayana Rao Foundation For Medical Sciences,Shreya Hospital,Sahana Hospital,Mathru Hospital,Adarsh Multi Speciality Hospital,"
142,Kereguddadahalli,
143,Kodichikkanahalli,
144,Kodigehaali,
145,Kodigehalli,
146,Kodihalli,"Cloudnine - Kids Clinic India Pvt. Ltd.,"
147,Kogilu,
148,Konanakunte,"Rajnandini Hospital,Supurva Hospitals Pvt Ltd,"
149,Koramangala,"Vasan Eye Care Hospital,Annayya Health Care Pvt. Ltd.,Dr Agarwal'S Eye Hospital Ltd.,Devi Super Speciality Eye Hospital Pvt. Ltd.,Mediscope Hospital Pvt Ltd,Beams Hospitals Pvt Ltd,Apollo Spectra Hospitals,Acura Multi Speciality Hospital,St. Johns Medical College Hospital,Apollo Bangalore Cradle Ltd.,"
150,Kothannur,
151,Kothanur,"T.R. Hospital,"
152,Kudlu,
153,Kudlu Gate,
154,Kumaraswami Layout,
155,Kundalahalli,"Brookefield Hospital,Sri Kanchi Kamakoti Medical Trust - Sankara Eye Hospital,"
156,LB Shastri Nagar,
157,Laggere,
158,Lakshminarayana Pura,
159,Lingadheeranahalli,
160,Magadi Road,
161,Mahadevpura,
162,Mahalakshmi Layout,"Spine Care & Ortho Care Hospital,"
163,Mallasandra,"Arunodaya Hospitals,"
164,Malleshpalya,"Medihope Hospitals & Research Centre Pvt Ltd,"
165,Malleshwaram,"Shaker Nursing Home,Vijaya Ent Care Centre,Narayana Super Speciality Hospitals,Manjunatha Maternity Home & Surgical Centre,Cloudnine - Kids Clinic India Pvt. Ltd.,Oncology International India Pvt. Ltd.,Vagus Super Speciality Hospital Pvt Ltd,"
166,Marathahalli,"Rainbow Children'S Medicare Pvt Ltd,Vims Speciality Hospital,"
167,Margondanahalli,
168,Marsur,
169,Mico Layout,
170,Munnekollal,
171,Murugeshpalya,
172,Mysore Road,"Mysore Road Hitech Hospital,H.K Hospital,"
173,NGR Layout,
174,NRI Layout,
175,Nagarbhavi,"Vijaya Nethralaya,Deepashri Hospital,Unity Life Line Hospital India Pvt. Ltd.,Fortis Hospital Ltd.-Wockhardt,Vasan Eye Care Hospital,"
176,Nagasandra,
177,Nagavara,
178,Nagavarapalya,
179,Narayanapura,
180,Neeladri Nagar,
181,Nehru Nagar,"Deeksha Hospital,"
182,OMBR Layout,
183,Old Airport Road,"Cloudnine - Kids Clinic India Pvt. Ltd.,"
184,Old Madras Road,"Deepa Hospital,Sathya Sai Orthopaedic And Multispeciality Hospital,Sri Ram Hospital,"
185,Padmanabhanagar,
186,Pai Layout,
187,Panathur,
188,Parappana Agrahara,
189,Pattandur Agrahara,
190,Poorna Pragna Layout,
191,Prithvi Layout,
192,R.T. Nagar,
193,Rachenahalli,
194,Raja Rajeshwari Nagar,
195,Rajaji Nagar,"Vasan Eye Care Hospital,Narayana Nethralaya,Nethradhama Hospitals Pvt. Ltd.,"
196,Rajiv Nagar,
197,Ramagondanahalli,
198,Ramamurthy Nagar,"Koshys Hospital,"
199,Rayasandra,
200,Sahakara Nagar,"Medstar Speciality Hospital,Aster Cmi Hospital,"
201,Sanjay nagar,
202,Sarakki Nagar,
203,Sarjapur,"Dr Agarwal'S Eye Hospital Ltd.,Bmax Hospital,Nelivigi Eye Hospital And Surgical Centre,St. Johns Medical College Hospital,"
204,Sarjapur  Road,
205,Sarjapura - Attibele Road,
206,Sector 2 HSR Layout,
207,Sector 7 HSR Layout,
208,Seegehalli,
209,Shampura,
210,Shivaji Nagar,
211,Singasandra,"Sri Vinayaka General & Maternity Hospital,Blossom Multispeciality Hospitals & Day Care Centre Pvt Ltd,Live 100 Hospital Pvt. Ltd.,"
212,Somasundara Palya,
213,Sompura,
214,Sonnenahalli,
215,Subramanyapura,"Samastha Hospitals Pvt Ltd,Supurva Hospitals Pvt Ltd,"
216,Sultan Palaya,
217,TC Palaya,
218,Talaghattapura,
219,Thanisandra,
220,Thigalarapalya,
221,Thubarahalli,
222,Tindlu,
223,Tumkur Road,"People Tree Hospitals,Sparsh Super Speciality Hospital,"
224,Ulsoor,"Bellevues Cambridge Hospital,"
225,Uttarahalli,"Samastha Hospitals Pvt Ltd,Bgs Global Hospitals,"
226,Varthur,"Yashomati Hospital Pvt. Ltd.,Columbia Asia Hospitals Pvt Ltd,Sri Kanchi Kamakoti Medical Trust - Sankara Eye Hospital,New Akshay Mallya Hospital,"
227,Varthur Road,
228,Vasanthapura,"Samastha Hospitals Pvt Ltd,Supurva Hospitals Pvt Ltd,"
229,Vidyaranyapura,"Soukya Hospital,Kethams Hospital Pvt Ltd,Rajalakshmi Hospital,"
230,Vijayanagar,"Sharavathi Hospitals Pvt Ltd,Gayathri Hospital Pvt. Ltd.,Sri Maruthi Nethralaya,Gia Hospital,Divyadrishti Eye Hospital,Maruthi Hospital,Vijayanagar Global Hospital,"
231,Vishveshwarya Layout,
232,Vishwapriya Layout,
233,Vittasandra,
234,Whitefield,"Vydehi Institute Of Medical Sciences & Research Centre,Kids Clinic India Pvt Ltd,Columbia Asia Hospitals Pvt Ltd,Narayana Multispeciality Hospital,Telerad Rxdx Healthcare Pvt. Ltd.,"
235,Yelachenahalli,
236,Yelahanka,"Deeksha Hospital,Ashwini Hospital,Navachethana Hospital,Dr Agarwal'S Eye Hospital Ltd.,N.D. R Hospital,Neha Prakash Hospital,Manasa Slv Hospital,Om Shakthi Hospital,Apurva Mother & Child Hospital,Chaitanya Medical Centre,Apple Hospital,Abhishek Nethradhama,K K Hospital,Shree Saiprasad Multispeciality Hospital,"
237,Yelahanka New Town,"Navachethana Hospital,Dr Agarwal'S Eye Hospital Ltd.,N.D. R Hospital,Manasa Slv Hospital,Shree Saiprasad Multispeciality Hospital,"
238,Yelenahalli,
239,Yeshwanthpur,"Sparsh Super Speciality Hospital,"
